atmosphere_bottom_air__temperature,snowpack__depth,atmosphere_bottom_air__temperature_amplitude
-13.198,0.29612,18.07
-10.746,0.40822,15.538
-12.042,0.2751,15.694
-15.206,0.21657,18.519
-12.729,0.24719,17.937
-13.105,0.31827,16.743
-11.963,0.21748,14.936
-12.23,0.30102,18.76
-12.822,0.19425,14.966
-13.81,0.13143,15.582
-13.513,0.18732,18.446
-11.973,0.15719,17.352
-11.416,0.17679,16.819
-14.659,0.13256,19.6
-14.58,0.11713,17.706
-13.182,0.13403,17.032
-11.915,0.13651,18.49
-11.815,0.1148,15.015
-10.639,0.14409,18.369
-13.011,0.26898,14.569
-11.487,0.21476,15.378
-12.624,0.20555,13.965
-12.622,0.14293,15.892
-13.703,0.22695,20.533
-11.899,0.15458,15.582
-11.573,0.21264,16.559
-12.246,0.16962,16.371
-13.196,0.14131,14.778
-10.315,0.10273,19.651
-12.25,0.13156,18.2
-12.386,0.16138,15.561
-12.426,0.2046,16.663
-10.171,0.25866,16.03
-12.654,0.19272,17.039
-10.884,0.18241,15.829
-10.777,0.2,16.246
-10.859,0.21331,16.514
-8.3704,0.27506,16.46
-12.009,0.20172,17.097
-11.788,0.21672,15.049
-11.936,0.22167,15.094
-10.221,0.20364,15.873
-10.617,0.21123,15.742
-10.765,0.1976,18.626
-10.296,0.19101,15.298
-10.372,0.30262,15.869
-9.293,0.2378,16.801
-10.392,0.33321,15.573
-10.322,0.30025,16.576
-9.8188,0.24259,16.425
-9.9858,0.20182,14.382
-10.52,0.23746,18.571
-9.7723,0.13755,17.405
-9.5018,0.14255,12.495
-9.935,0.12133,14.319
